"Age Groups (13) and Sex (3) for the Population of Canada, Provinces and Territories, 1921 to 2006 Censuses - 100% Data"
"Geography = New Brunswick / Nouveau-Brunswick"
"Census year (15) = 1976 [1]"
"Age groups (13)","Total - Sex","  Male","  Female", 
"Total - Age groups [2]",677250,339335,337915 
"  Under 5 years",58265,29735,28535 
"  5 to 9 years",61470,31705,29760 
"  10 to 14 years",73365,37550,35815 
"  15 to 24 years",137565,69970,67595 
"  25 to 34 years",99840,51125,48725 
"  35 to 44 years",66570,33505,33065 
"  45 to 54 years",63365,31110,32255 
"  55 to 64 years",55730,27260,28465 
"  65 to 74 years",37225,17670,19555 
"  75 to 84 years",18415,7700,10720 
"  85 years and over",5430,2015,3420 
"Median age [3]",25.7,25.1,26.3 
"Note"
"[1] Data for Nunavut are not available prior to 2001."
"[2] Includes institutional residents."
"[3] The median age is an age 'x', such that exactly one half of the population is older than 'x' and the other half is younger than 'x'."
"Source: Statistics Canada - 2006 Census. Catalogue Number 97-551-XCB2006005."
